ID_Zindi,Date,ID,LAT,LON,Precipitation,LST,AAI,CloudFraction,NO2_strat,NO2_total,NO2_trop,TropopausePressure,GT_NO2
ID_8JCCXC,1/1/19,PD04,45.37100479,11.84082978,3.0473423,,-0.074006252,0.869308591,2.39e-05,0.000127,,14441.79815,42.0
ID_KRVZDJ,1/1/19,RO02,45.10407489,11.55324086,1.200466871,,-0.010441862,0.920053504,2.41e-05,0.000124,,14440.83831,30.0
ID_4XN0K8,1/1/19,TV01,45.88973369,12.30712448,0.0,278.38,-0.366830533,0.324391853,2.34e-05,0.000109,,14432.05624,26.0
ID_O0RJKX,1/1/19,TV02,45.67172072,12.23780698,0.0,,0.188599363,0.818421543,2.36e-05,0.000135,,14436.70176,38.0
ID_1APJEY,1/1/19,VE01,45.6290925,12.59068235,0.0,,0.507836938,0.926018417,2.36e-05,0.000137,,14435.0196,34.0
ID_OX46E7,1/1/19,X10038,45.61924378,8.756970445,0.0,282.98,-0.580316403,0.121119776,2.29e-05,0.000156,0.000133,14425.69705,27.775
ID_OB4V7B,1/1/19,X10167,45.01687782,11.07609463,2.950671196,,0.121944949,0.955316067,2.41e-05,0.00036,,14438.88636,31.275
ID_131CBB,1/1/19,X12017,45.15046887,9.930596472,1.876740813,,0.190684215,0.769712661,2.38e-05,0.000349,,14443.62723,27.375
ID_I46ZS0,1/1/19,X20034,45.10276628,8.904174528,0.0,,0.206685394,0.724960506,2.35e-05,0.000161,,14438.0905,38.85
ID_TTUDVG,1/1/19,X5520,45.52655087,8.736496578,0.0,282.74,-0.567871593,0.148464307,2.28e-05,0.000154,0.000132,14428.88172,24.45
ID_I93HFL,1/1/19,X5548,45.2819562,8.988562727,0.0,,0.516054772,0.704872638,2.33e-05,0.00014,,14437.64238,31.175
ID_9UKWUW,1/1/19,X5554,45.54851736,8.847321929,0.0,282.6,0.005795598,0.290223408,2.29e-05,0.000177,0.000158,14430.00444,28.325
ID_GBIGTP,1/1/19,X5950,45.27848755,10.00620239,1.516463637,274.74,-0.127357623,0.588006511,2.38e-05,0.000294,,14443.94344,18.1
ID_G0TGDO,1/1/19,X6685,45.1946761,9.164638301,0.0,,-0.198272362,0.678857535,2.35e-05,0.000149,,14440.8584,42.8
ID_8K8HLE,1/1/19,X6871,45.14526013,10.80332595,3.562749386,,0.055705499,0.89193213,2.41e-05,0.000304,,14440.97598,32.025
ID_ZE5SPX,1/1/19,X9802,45.16056833,10.79556411,4.023135185,,0.012465255,0.880900169,2.41e-05,0.000269,,14441.89312,27.65
ID_R3HDFU,1/1/19,X9928,45.14254063,10.04383616,1.928030849,,-0.016150177,0.760704607,2.39e-05,0.00028,,14442.76507,34.075
ID_0G4531,2/1/19,PD04,45.37100479,11.84082978,0.0,282.72,-0.688057183,0.029073696,3.3e-05,0.000102,6.85e-05,20785.31688,36.0
ID_LL1VC0,2/1/19,TV01,45.88973369,12.30712448,0.0,282.62,-0.557455364,0.081648295,3.19e-05,5.33e-05,2.42e-05,20727.19438,28.0
ID_6BUTGE,2/1/19,TV02,45.67172072,12.23780698,0.0,281.24,-0.480423003,0.064098948,3.26e-05,0.000112,7.9e-05,20756.34444,43.0
ID_CAXIWG,2/1/19,VE01,45.6290925,12.59068235,0.0,279.88,0.19588083,0.217060378,3.28e-05,0.000119,0.000111,20743.39637,41.0
